Year,Month,Departure station,Arrival station,Average travel time (min),Number of expected circulations,Number of cancelled trains,Number of late trains at departure,Average delay of late departing trains (min),Average delay of all departing trains (min),Comment (optional) delays at departure,Number of trains late on arrival,Average delay of late arriving trains (min),Average delay of all arriving trains (min),Comment (optional) delays on arrival,"% trains late due to external causes (weather, obstacles, suspicious packages, malevolence, social movements, etc.)","% trains late due to railway infrastructure (maintenance, works)","% trains late due to traffic management (rail line traffic, network interactions)",% trains late due to rolling stock,% trains late due to station management and reuse of material,"% trains late due to passenger traffic (affluence, PSH management, connections)",Number of late trains > 15min,Average train delay > 15min,Number of late trains > 30min,Number of late trains > 60min,Period,Delay due to external causes,Delay due to railway infrastructure,Delay due to traffic management,Delay due to rolling stock,Delay due to station management and reuse of material,Delay due to travellers taken into account
2016,7,PARIS LYON,VALENCE ALIXAN TGV,131.2919255,323,1,27,18.62962963,1.829192547,,44,23.15909091,3.909937888,,0.261904762,0.071428571,0.095238095,0.238095238,0.214285714,0.119047619,29,28.2758621,7,3,2016-07,26.19047619,7.142857143,9.523809524,23.80952381,21.42857143,11.9047619
2016,7,PARIS MONTPARNASSE,LE MANS,58.38606195,452,0,33,13.93939394,1.351769912,,52,18.30769231,2.227876106,,0.217391304,0.217391304,0.043478261,0.239130435,0.217391304,0.065217391,23,29.0434783,9,1,2016-07,21.73913043,21.73913043,4.347826087,23.91304348,21.73913043,6.52173913
2016,7,PARIS EST,STUTTGART,123.5223464,179,0,14,9.928571429,1.145251397,,14,29.21428571,3.452513966,,,,,,,,11,33.4545455,4,2,2016-07,,,,,,
2016,11,PARIS MONTPARNASSE,TOURS,79.07777778,180,0,24,19.66666667,2.927777778,,57,17.01754386,5.927777778,"Cette OD a été touchée par diffférents incidents:
Le 4 : découverte d’un corps à la sortie de la gare de Paris Montparnasse (59 TGV ; 2379’)
Le 4 : dérangement de signalisation en gare de Paris Montparnasse (35 TGV ; 894’)
Le 10 : restitution tardive de travaux à la sortie de Paris (34 TGV ; 386’)
Le 22 : arrêt d’un TGV au niveau de Massy nécessitant un retour en arrière (54 TGV ; 1556’)
Le 28 : incident matériel à la sortie de la gare de Paris (19 TGV ; 370’)",0.163636364,0.254545455,0.145454545,0.218181818,0.2,0.018181818,20,30.5,6,1,2016-11,16.36363636,25.45454545,14.54545455,21.81818182,20,1.818181818
2016,11,PARIS MONTPARNASSE,VANNES,201.3318584,226,0,19,22.89473684,2.154867257,,38,41.02631579,8.800884956,"Cette OD a été touchée par diffférents incidents:
Tous le mois : difficultés de circulation liés aux patinages et enrayages (rail glissant) en Bretagne.
Le 4 : découverte d’un corps à la sortie de la gare de Paris Montparnasse (59 TGV ; 2379’)
Le 4 : dérangement de signalisation en gare de Paris Montparnasse (35 TGV ; 894’)
Le 10 : restitution tardive de travaux à la sortie de Paris (34 TGV ; 386’)
Le 13 : heurt de chèvres à Laval (11 TGV, 368’)
Le 18 : accident de personne vers Vannes (6 TGV ; 485’)
Le 20 : heurt d’un trappe sur un train croiseur à Yvré l’Evèque (26 TGV ; 703’)
Le 22 : arrêt d’un TGV au niveau de Massy nécessitant un retour en arrière (54 TGV ; 1556’)
Le 25 : dérangement de signalisation à la sortie de la ligne grande vitesse (49 TGV ; 2328’)
Le 28 : incident matériel à la sortie de la gare de Paris (19 TGV ; 370’)",0.432432432,0.297297297,0.081081081,0.081081081,0.108108108,0,38,41.0263158,21,7,2016-11,43.24324324,29.72972973,8.108108108,8.108108108,10.81081081,0
2016,11,DUNKERQUE,PARIS NORD,119.5810811,222,0,4,37,0.783783784,,17,24.11764706,2.981981982,,0.058823529,0.411764706,0.294117647,0.176470588,0.058823529,0,9,34,2,1,2016-11,5.882352941,41.17647059,29.41176471,17.64705882,5.882352941,0
2016,11,PARIS NORD,LILLE,62.26368159,603,0,21,22.23809524,0.925373134,,36,17.75,1.228855721,,0.228571429,0.085714286,0.142857143,0.028571429,0.371428571,0.142857143,14,31.5714286,7,0,2016-11,22.85714286,8.571428571,14.28571429,2.857142857,37.14285714,14.28571429
2016,11,PARIS LYON,ITALIE,251.5738636,88,0,3,15.66666667,0.647727273,,16,38.125,9.75,,0.0625,0.5625,0.125,0,0.1875,0.0625,16,38.125,5,1,2016-11,6.25,56.25,12.5,0,18.75,6.25
2017,11,PARIS LYON,NICE VILLE,338.3888889,189,9,14,17.76547619,1.190185185,,33,31.33232323,8.415925926,,0.181818182,0.363636364,0.303030303,0.151515152,0,0,33,8.415925926,15,2,2017-11,18.18181818,36.36363636,30.3030303,15.15151515,0,0
2017,11,PARIS LYON,SAINT ETIENNE CHATEAUCREUX,169.2017544,116,2,12,23.95694444,2.222807018,,23,27.33405797,7.067251462,,0.260869565,0.173913043,0.173913043,0.260869565,0.086956522,0.043478261,15,7.067251462,7,3,2017-11,26.08695652,17.39130435,17.39130435,26.08695652,8.695652174,4.347826087
2017,11,PARIS MONTPARNASSE,BORDEAUX ST JEAN,147.5139949,794,8,62,15.83198925,1.310602205,,118,27.86073446,4.779961832,,0.155555556,0.288888889,0.266666667,0.188888889,0.066666667,0.033333333,74,4.73776797,32,13,2017-11,15.55555556,28.88888889,26.66666667,18.88888889,6.666666667,3.333333333
2017,11,PARIS MONTPARNASSE,POITIERS,94.19838057,500,6,32,15.1921875,0.839035088,,52,18.28621795,2.745479082,,0.179487179,0.205128205,0.333333333,0.102564103,0.128205128,0.051282051,20,2.745479082,8,2,2017-11,17.94871795,20.51282051,33.33333333,10.25641026,12.82051282,5.128205128
2017,11,LYON PART DIEU,MONTPELLIER,112.4588608,320,4,100,21.0515,7.749894515,,69,38.59637681,9.173945148,Heurt d'un sanglier.,0.315789474,0.210526316,0.175438596,0.192982456,0.035087719,0.070175439,45,9.173945148,27,10,2017-11,31.57894737,21.05263158,17.54385965,19.29824561,3.50877193,7.01754386
2017,11,PARIS LYON,GENEVE,189.252,202,2,17,15.94313725,1.219583333,,48,29.75590278,7.987583333,,0.425531915,0.14893617,0.234042553,0.191489362,0,0,34,7.987583333,13,5,2017-11,42.55319149,14.89361702,23.40425532,19.14893617,0,0
